표제어,발음
흥미,흥ː미
흥분,흥분
가계,가계/가게
가곡,가곡
가공,가공
가담,가담
가동,가동
가면,가ː면
가문,가문
가상,가ː상
가설,가ː설
가시,가시
가열,가열
가옥,가옥
가책,가ː책
가출,가출
가훈,가훈
각광,각꽝
각도,각또
각본,각뽄
각지,각찌
간부,간부
간접,간ː접
간첩,간ː첩
갈대,갈때
갈망,갈망
감격,감ː격
감금,감금
감량,감ː냥
감면,감ː면
감명,감ː명
감사,감사
감상,감ː상
감성,감ː성
감염,가ː몀
감원,가ː뭔
감촉,감ː촉
감축,감ː축
감탄,감ː탄
감회,감ː회/감ː훼
강간,강ː간
강국,강국
강당,강ː당
강산,강산
강세,강세
강압,강ː압
강연,강ː연
강점,강쩜
강좌,강ː좌
강풍,강풍
강행,강ː행
강화,강화
개강,개강
개관,개관
개량,개ː량
개막,개막
개봉,개봉
개설,개설
개업,개업
개요,개ː요
개입,개ː입
개작,개ː작
개정,개ː정
개조,개ː조
개척,개척
개편,개ː편
개표,개표
객석,객썩
객실,객씰
객지,객찌
거금,거ː금
거동,거ː동
거론,거ː론
거만,거ː만
거부,거ː부
거액,거ː액
거주,거주
거처,거처
건국,건ː국
건기,건기
건립,걸ː립
건성,건성
건수,건쑤
건의,거ː늬 /거ː니
건전,건ː전
걸작,걸짝
검거,검ː거
검문,검ː문
검소,검ː소
검증,검ː증
검진,검ː진
검찰,검ː찰
게재,게ː재
겨냥,겨ː냥
격리,경니
격언,겨건
격차,격차
견과,견과
견문,견ː문
견본,견ː본
결말,결말
결별,결별
결산,결싼
결선,결썬
결의,겨릐/겨리
결재,결째
결핍,결핍
결함,결함
겸허,겸허
경관,경관
경련,경년
경매,경ː매
경멸,경멸
경보,경ː보
경비,경ː비
경사,경사
경시,경시
경악,경악
경연,경ː연
경위,경위
경유,경유
경전,경전
경주,경ː주
경직,경직
경청,경청
경품,경ː품
경호,경ː호
계급,계급/게급
계승,계ː승/게ː승
계열,계ː열/게ː열
고가,고까
고갈,고갈
고난,고난
고도,고도
고려,고려
고령,고령
고립,고립
고발,고ː발
고비,고비
고소,고ː소
고아,고아
고온,고온
고용,고용
고원,고원
고위,고위
고인,고ː인
고찰,고찰
고체,고체
곡물,공물
곡선,곡썬
곤경,곤ː경
곤궁,곤ː궁
곤충,곤충
골치,골치
공경,공경
공고,공고
공군,공군
공로,공노
공룡,공ː뇽
공립,공닙
공모,공모
공문,공문
공약,공약
공예,공예
공유,공ː유
공익,공익
공적,공적
공정,공정
공존,공ː존
공중,공중
공직,공직
공터,공터
공포,공포
공학,공학
과녁,과ː녁
과다,과ː다
과민,과ː민
과부,과ː부
과열,과ː열
과음,과ː음
관념,관념
관례,괄례
관료,괄료
관리,괄리
관세,관세
관습,관습
관용,과뇽
관절,관절
관중,관중
관직,관직
관청,관청
관측,관측
관행,관행
광복,광복
광부,광ː부
광업,광ː업
광장,광ː장
교감,교감
교과,교ː과/교ː꽈
교섭,교섭
교원,교ː원
교정,교ː정
교제,교제
교직,교ː직
구걸,구걸
구기,구기
구독,구독
구박,구박
구비,구비
구사,구사
구상,구상
구슬,구슬
구애,구애
구어,구ː어
구원,구ː원
구인,구인
구절,구절
구제,구ː제
구직,구직
구청,구청
구출,구ː출
구토,구토
구형,구형
구호,구ː호
국경,국꼉
국고,국꼬
국군,국꾼
국력,궁녁
국방,국빵
국보,국뽀
국비,국삐
국악,구각
국왕,구광
국익,구긱
국정,국쩡
국토,국토
군밤,군ː밤
군사,군사
군중,군중
굴뚝,굴ː뚝
궁궐,궁궐
궁중,궁중
권익,궈닉
권장,권ː장
권태,권ː태
권투,권ː투
권한,권한
궤도,궤ː도
귀감,귀감
귀족,귀ː족
귀천,귀ː천
규범,규범
규율,규율
규제,규제
근력,글력
근로,글ː로
근면,근ː면
근원,그눤
금기,금ː기
금리,금니
금속,금속
금전,금전
급등,급뜽
급락,금낙
급류,금뉴
급변,급뼌
급성,급썽
급식,급씩
급여,그벼
긍정,긍ː정
긍지,긍ː지
기금,기금
기기,기기
기력,기력
기립,기립
기만,기만
기말,기말
기법,기뻡
기상,기상
기습,기습
기아,기아
기압,기압
기원,기원
기일,기일
기절,기절
기질,기질
기체,기체
기피,기피
기한,기한
기행,기행
기호,기호
김장,김장
까치,까ː치
깡통,깡통
꼬마,꼬마
꼴찌,꼴찌
끈기,끈기
끼니,끼니
낙관,낙꽌
낙방,낙빵
낙심,낙씸
낙원,나권
낙제,낙쩨
낙태,낙태
낙후,나쿠
난간,난간
난청,난청
난폭,난ː폭
남극,남극
남색,남색
남용,나ː묭
남한,남한
남향,남향
납부,납뿌
납치,납치
낭독,낭ː독
낭만,낭ː만
낭송,낭ː송
낭패,낭ː패
낱말,난ː말
내기,내ː기
내륙,내ː륙
내막,내ː막
내면,내ː면
내복,내ː복
내심,내ː심
내역,내ː역
내장,내ː장
냇가,내ː까/낻ː까
냉대,냉ː대
냉전,냉ː전
냉정,냉ː정
너비,너비
노년,노ː년
노령,노ː령
노릇,노륻
노사,노사
노예,노예
노을,노을
노화,노ː화
노후,노ː후
녹지,녹찌
논란,놀란
논문,논문
논밭,논받
논술,논술
논증,논증
논평,논평
농가,농가
농경,농경
농도,농도
농악,농악
농장,농장
뇌물,뇌물/눼물
뇌사,뇌사/눼사
누이,누이
누전,누ː전
누출,누ː출
눈발,눈ː빨
능률,능뉼
다량,다량
단가,단까
단결,단결
단군,단군
단념,단ː념
단돈,단돈
단락,달락
단련,달련
단서,단서
단합,단합
담보,담보
담장,담장
답사,답싸
당구,당구
당국,당국
당락,당낙
당면,당면
당부,당부
당선,당선
당혹,당혹
대결,대ː결
대금,대ː금
대꾸,대ː꾸
대담,대ː담
대등,대ː등
대륙,대ː륙
대목,대목
대박,대ː박
대본,대본
대북,대ː북
대상,대ː상
대안,대ː안
대양,대ː양
대여,대ː여
대우,대ː우
대인,대ː인
대장,대ː장
대추,대ː추
대피,대ː피
대항,대ː항
댓글,대끌/댇끌
덕목,덩목
덩치,덩치
도달,도ː달
도덕,도ː덕
도리,도ː리
도립,도ː립
도매,도매
도박,도박
도약,도약
도태,도태
도표,도표
도피,도피
독방,독빵
독사,독싸
독성,독썽
독신,독씬
독재,독째
독점,독쩜
돌파,돌파
동감,동감
동거,동거
동경,동ː경
동굴,동ː굴
동등,동등
동력,동ː녁
동맥,동ː맥
동문,동문
동반,동반
동사,동ː사
동상,동상
동성,동성
동정,동정
동행,동행
동향,동향
동화,동화
득점,득쩜
들판,들ː판
등골,등꼴
등교,등교
등반,등반
또래,또래
마감,마감
마비,마비
마취,마취
막강,막깡
만병,만ː병
만세,만ː세
맏이,마지
맏형,마텽
말끝,말ː끋
말단,말딴
말문,말ː문
말썽,말ː썽
망신,망신
망치,망치
매매,매매
매연,매연
매입,매ː입
매장,매장
매출,매ː출
맥락,맹낙
맥박,맥빡
면역,며ː녁
멸망,멸망
멸종,멸쫑
명랑,명낭
명문,명문
명복,명복
명사,명사
명상,명상
명소,명소
명중,명ː중
명칭,명칭
명품,명품
모발,모발
모방,모방
모순,모순
모욕,모ː욕
모음,모ː음
모친,모ː친
모형,모형
목격,목껵
목돈,목똔
목장,목짱
목재,목째
몰락,몰락
몰입,모립
몸집,몸찝
묘미,묘ː미
묘지,묘ː지
무력,무ː력
무례,무례
무상,무상
무술,무ː술
무식,무식
무언,무언
무인,무인
무형,무형
묵념,뭉념
문과,문꽈
문구,문꾸
문단,문단
문상,문ː상
문어,무너 
문항,문ː항
문헌,문헌
문형,문형
물량,물량
물리,물리
물자,물짜
물체,물체
물품,물품
미각,미각
미남,미ː남
미녀,미ː녀
미덕,미ː덕
미모,미ː모
미아,미아
미역,미역
미용,미ː용
미적,미쩍
미지,미ː지
민간,민간
민박,민박
민속,민속
민요,미뇨
민주,민주
밀림,밀림
밑창,믿창
박자,박짜
박탈,박탈
반감,반ː감
반도,반ː도
반론,발ː론
반목,반ː목
반문,반ː문
반박,반ː박
반주,반ː주
반칙,반ː칙
반항,반ː항
발각,발각
발굴,발굴
발단,발딴
발령,발령
발병,발병
발상,발쌍
발언,바런
발전,발쩐
발효,발효
밧줄,바쭐/받쭐
방귀,방ː귀
방범,방범
방수,방수
방어,방어
방언,방언
방영,방ː영
방음,방음
방치,방ː치
방침,방침
방황,방황
배상,배상
배설,배설
배신,배ː신
배역,배ː역
배제,배제
배출,배출
배출,배ː출
배포,배ː포
배후,배ː후
백미,뱅미
백성,백썽
백수,백쑤
백제,백쩨
번성,번성
번창,번창
벌판,벌판
범행,범ː행
법규,법뀨
법안,버반
법정,법쩡
벚꽃,벋꼳
벼락,벼락
벽돌,벽똘
벽화,벼콰
변기,변기
변덕,변ː덕
변수,변ː수
변천,변ː천
변호,변ː호
병동,병ː동
병명,병ː명
병상,병ː상
병세,병ː세
병행,병ː행
보건,보ː건
보배,보ː배
보복,보ː복
보상,보ː상
보약,보ː약
보육,보ː육
보증,보증
복구,복꾸
복권,복꿘
복리,봉니
복부,복뿌
복원,보권
복장,복짱
복제,복쩨
복종,복쫑
복지,복찌
복학,보칵
본론,볼론
본명,본명
본문,본문
본사,본사
본선,본선
본성,본성
본전,본전
부고,부ː고
부과,부ː과
부당,부당
부도,부도
부사,부ː사
부실,부실
부양,부양
부응,부ː응
부인,부ː인
부임,부ː임
부진,부진
부축,부ː축
부패,부ː패
부피,부피
부하,부하
부활,부ː활
북극,북끅
북한,부칸
북향,부컁
분기,분기
분담,분담
분배,분배
분산,분산
분열,부녈
분유,부뉴
분쟁,분쟁
분출,분ː출
분해,분해
불경,불경
불길,불낄
불량,불량
불명,불명
불상,불쌍
불신,불씬
불우,부루
불의,부릐/부리
불참,불참
불화,불화
불황,불황
붕괴,붕괴/붕궤
붕대,붕대
비관,비ː관
비료,비ː료
비리,비ː리
비방,비방
비서,비ː서
비염,비ː염
비평,비ː평
비품,비ː품
빈곤,빈곤
빈도,빈도
빈민,빈민
빈부,빈부
빈소,빈소
빈칸,빈ː칸
빈혈,빈혈
빙산,빙산
빙수,빙수
빙하,빙하
사격,사격
사고,사고
사교,사교
사극,사ː극
사기,사ː기
사리,사ː리
사법,사법
사복,사복
사상,사ː상
사슴,사슴
사원,사원
사유,사ː유
사치,사치
사퇴,사퇴/사퉤
사형,사ː형
사회,사회/사훼
사후,사ː후
산간,산간
산골,산꼴
산림,살림
산맥,산맥
산모,산ː모
산성,산성
산소,산소
산하,산하
살균,살균
살해,살해
상봉,상봉
상속,상속
상심,상심
상여,상여
상용,상용
상위,상ː위
상의,상의/상이
상인,상인
상장,상짱
상주,상주
상체,상ː체
상표,상표
새댁,새댁
새싹,새싹
색상,색쌍
색채,색채
샘물,샘ː물
생계,생계/생게
생물,생물
생사,생사
생성,생성
생수,생수
생애,생애
생전,생전
생태,생태
서구,서구
서두,서ː두
서론,서ː론
서민,서ː민
서술,서ː술
서신,서신
서열,서ː열
서예,서예
서재,서재
서평,서평
서향,서향
석사,석싸
석탄,석탄
선고,선고
선교,선교
선두,선두
선반,선반
선발,선ː발
선불,선불
선비,선비
선언,서넌
선의,서ː늬/서ː니
선조,선조
선출,선ː출
선행,선행
선행,선ː행
설계,설계/설게
설교,설교
설비,설비
설움,서ː룸
섬유,서뮤
섭리,섬니
섭외,서뵈/서붸
섭취,섭취
성경,성ː경
성금,성금
성냥,성냥
성년,성년
성능,성ː능
성대,성대
성묘,성묘
성분,성분
성비,성ː비
성사,성사
성인,성ː인
성품,성ː품
성향,성ː향
성형,성형
세관,세ː관
세균,세ː균
세태,세ː태
세포,세ː포
소동,소동
소량,소ː량
소름,소ː름
소매,소ː매
소멸,소멸
소모,소모
소속,소ː속
소송,소송
소식,소ː식
소신,소ː신
소실,소실
소아,소ː아
소양,소양
소인,소ː인
소장,소ː장
소질,소질
소통,소통
속력,송녁
속어,소거
손맛,손맏
손실,손ː실
손짓,손찓
송금,송ː금
송년,송ː년
쇠퇴,쇠퇴/쉐퉤
수강,수강
수녀,수녀
수당,수당
수록,수록
수료,수료
수립,수립
수목,수목
수발,수발
수분,수분
수비,수비
수산,수산
수상,수상
수색,수색
수석,수석
수염,수염
수완,수완
수익,수익
수지,수지
수질,수질
수컷,수컫
수필,수필
수학,수학
수해,수해
수험,수험
수혈,수혈
수확,수확
숙맥,숭맥
숙면,숭면
순대,순대
순환,순환
숭늉,숭늉
숭배,숭배
스승,스승
습득,습뜩
습성,습썽
승려,승녀
승마,승마
승부,승부
승자,승자
시각,시ː각
시련,시ː련
시름,시름
시립,시ː립
시범,시ː범
시사,시사
시신,시ː신
시인,시ː인
시적,시쩍
시체,시ː체
식단,식딴
식성,식썽
식수,식쑤
식용,시굥
신곡,신곡
신라,실라
신명,신명
신물,신물
신설,신설
신세,신세
신음,시늠
신의,시ː늬/시ː니
신인,시닌
신임,시ː님
신임,시님
신자,신ː자
신장,신장
신하,신하
신형,신형
실무,실무
실상,실쌍 
실외,시뢰/시뤠
실용,시룡
실적,실쩍
실직,실찍
실태,실태
실행,실행
실화,실화
심경,심경
심성,심성
심신,심신
심야,시ː먀
심의,시ː믜/시ː미
쌍방,쌍방
썰매,썰매
썰물,썰물
아비,아비
악마,앙마
악성,악썽
악역,아격
악용,아굥
안건,안ː껀
안달,안달
안도,안도
안락,알락
안목,안ː목
알뜰,알뜰
알선,알썬
암벽,암벽
암시,암ː시
암컷,암컫
암호,암ː호
압축,압축
애착,애ː착
애칭,애ː칭
액체,액체
야광,야ː광
야당,야ː당
야생,야ː생
야영,야ː영
약물,양물
약세,약쎄
약자,약짜
약탈,약탈
약효,야쿄
얌체,얌체
양가,양ː가
양반,양ː반
양상,양상
양성,양ː성
양육,양ː육
양질,양질
양초,양초
양측,양ː측
양치,양치
양해,양해
어간,어ː간
어미,어ː미
어민,어민
어순,어ː순
어업,어업
어원,어ː원
어조,어ː조
어투,어ː투
어학,어ː학
억수,억쑤
억압,어갑
억제,억쩨
언행,언행
엄살,엄살
업소,업쏘
업자,업짜
업종,업쫑
여당,여ː당
여론,여ː론
여류,여류
여사,여사
여야,여ː야
여파,여파
역대,역때
역도,역또
역량,영냥
연대,연대
연료,열료
연비,연비
연수,연ː수
연예,여ː녜
연일,여닐
연재,연재
연하,연하
열거,열거
열광,열광
열대,열때
열량,열량
열망,열망
열성,열썽
열의,여릐/여리
염려,염ː녀
염원,여ː뭔
염증,염쯩
영광,영광
영리,영니
영문,영문
영입,영입
영장,영짱
영재,영재
영토,영토
예년,예ː년
예능,예ː능
예문,예ː문
예물,예물
예배,예배
예전,예ː전
오기,오ː기
오류,오ː류
오줌,오줌
옥상,옥쌍
온대,온대
온돌,온돌
온수,온수
옷감,옫깜
옷깃,옫낃
완공,완공
완주,완주
완치,완치
완쾌,완쾌
왕궁,왕궁
왕권,왕꿘
왕따,왕따
왕위,왕위
왕자,왕자
왕조,왕조
왜곡,왜곡
외래,외ː래/웨ː래
외무,외ː무/웨ː무
외신,외ː신/웨ː신
외제,외ː제/웨ː제
외화,외ː화/웨ː화
외환,외ː환/웨ː환
요양,요양
요점,요쩜
욕구,욕꾸
욕설,욕썰
용기,용기
용량,용냥
용례,용ː녜
용모,용모
용법,용ː뻡
용지,용ː지
우기,우ː기
우뇌,우ː뇌/우ː눼
우대,우대
우량,우량
우성,우성
우세,우세
우월,우월
우파,우ː파
운송,운ː송
운용,우ː뇽
원가,원까
원고,원고
원금,원금
원료,월료
원망,원ː망
원본,원본
원시,원시
원유,워뉴
원작,원작
원장,원장
원조,원ː조
원형,원형
원화,원화
원활,원활
월간,월간
월차,월차
위법,위법
위생,위생
위성,위성
위안,위안
위암,위암
위염,위염
위조,위조
유가,유까
유감,유감
유골,유골
유도,유도
유동,유동
유래,유래
유례,유ː례
유사,유ː사
유세,유ː세
유아,유아
유전,유전
유출,유출
유포,유포
유해,유ː해
유효,유ː효
유희,유히
육류,융뉴
육상,육쌍
육식,육씩
육아,유가
윤리,율리
율동,율똥
융합,융합
은사,은사
은퇴,은퇴/은퉤
음질,음질
음치,음치
음향,음향
응급,응ː급
응모,응ː모
의과,의꽈
의료,의료
의술,의술
의원,의원
의학,의학
의혹,의혹
의회,의회/의훼
이득,이ː득
이력,이ː력
이상,이ː상
이슬,이슬
이식,이식
이윤,이ː윤
이의,이ː의/이ː이
이주,이주
이직,이직
이행,이ː행
익명,잉명
인권,인꿘
인근,인근
인내,인내
인명,인명
인색,인색
인성,인성
인종,인종
인출,인출
인파,인파
일감,일ː깜
일과,일과
일념,일렴
일련,일련
일류,일류
일몰,일몰
일주,일쭈
일탈,일탈
일터,일ː터
일화,일화
임기,임ː기
임대,임ː대
임명,임ː명
임업,이멉
임용,이ː묭
임원,이ː뭔
임종,임종
입증,입쯩
잇몸,인몸
자가,자가
자각,자각
자갈,자갈
자국,자국
자금,자금
자립,자립
자만,자만
자모,자모
자백,자백
자산,자산
자선,자선
자손,자손
자수,자수
자아,자아
자율,자율
자음,자음
자재,자재
자질,자질
자취,자취
자치,자치
자태,자태
잔고,잔고
잡초,잡초
잡화,자퐈
장군,장군
장기,장기
장려,장ː녀
장례,장ː녜
장인,장인
장치,장치
재난,재난
재무,재무
재물,재물
재배,재ː배
재벌,재벌
재앙,재앙
재정,재정
재직,재ː직
재질,재질
재해,재해
재현,재ː현
재혼,재ː혼
재활,재ː활
쟁점,쟁쩜
저가,저ː까
저승,저승
저항,저ː항
적금,적끔
적대,적때
적도,적또
적립,정닙
적발,적빨
전구,전ː구
전기,전기
전년,전년
전담,전담
전동,전ː동
전등,전ː등
전래,절래
전략,절ː략
전력,절ː력
전반,전반
전송,전ː송
전신,전신
전액,저낵
전업,저넙
전염,저념
전율,저ː뉼
전직,전직
전투,전ː투
전학,전ː학
전환,전ː환
절감,절감
절벽,절벽
절전,절쩐
점령,점녕
점포,점ː포
접대,접때
접전,접쩐
접종,접쫑
정감,정감
정권,정꿘
정년,정년
정밀,정밀
정복,정복
정비,정ː비
정상,정상
정서,정서
정열,정녈
정월,정월
정의,정ː의/정ː이
정전,정전
정화,정화
제값,제갑
제과,제ː과
제대,제대
제비,제ː비
제약,제ː약
제의,제의/제이
제정,제ː정
제조,제ː조
제패,제ː패 
조각,조각
조개,조개
조국,조국
조립,조립
조문,조ː문
조사,조ː사
조세,조세
조연,조ː연
조의,조ː의/조ː이
조직,조직
조퇴,조ː퇴/조ː퉤
종목,종ː목
좌뇌,좌ː뇌/좌ː눼
좌절,좌ː절
좌파,좌ː파
죄인,죄ː인/줴ː인
주가,주까
주거,주ː거
주권,주꿘
주례,주례
주류,주류
주범,주범
주식,주식
주어,주어
주역,주역
주연,주연
주의,주의/주이
주전,주전
주체,주체
주최,주최/주췌
준수,준ː수
중개,중개
중계,중계/중게
중대,중ː대
중력,중ː녁
중립,중닙
중매,중매
중병,중ː병
중상,중ː상
중성,중성
중세,중세
중소,중소
중시,중ː시
중점,중ː쩜
중증,중ː쯩
증권,증꿘
증대,증대
증발,증발
증오,증오
지대,지대
지름,지름
지리,지리
지망,지망
지면,지면
지명,지명
지문,지문
지사,지사
지상,지상
지수,지수
지인,지인
지점,지점
지형,지형
지휘,지휘
직무,징무
직속,직쏙
직위,지귀
직종,직쫑
진급,진ː급
진땀,진땀
진료,질ː료
진보,진ː보
진상,진상
진열,지ː녈
진영,지녕
진정,진정
진정,진ː정
진지,진ː지
진화,진ː화
진흙,진흑
진흥,진ː흥
질량,질량
질환,질환
집값,집깝
집집,집찝
집착,집착
집필,집필
집회,지푀/지풰
징역,징역
차단,차ː단
차례,차례
차림,차림
차장,차장
착용,차굥
찬반,찬ː반
찬사,찬ː사
참견,참견
참맛,참맏
참배,참배
참새,참새
참치,참치
찹쌀,찹쌀
창업,창ː업
창출,창ː출
채식,채ː식
채용,채ː용
책자,책짜
처가,처가
처마,처마
척추,척추
천막,천막
천연,처년
철강,철강
철새,철쌔
철학,철학
첨가,첨가
첨단,첨단
청구,청구
청색,청색
청자,청자
청중,청중
체감,체감
체격,체격
체내,체내
체념,체념
체류,체류
체벌,체벌
체육,체육
체제,체제
체질,체질
체포,체포
체형,체형
초등,초등
초래,초래
초상,초상
초원,초원
촉각,촉깍
촉진,촉찐
총각,총ː각
총액,총ː액
총장,총ː장
추구,추구
추락,추락
추모,추모
추세,추세
추수,추수
추적,추적
축복,축뽁
출간,출간
출금,출금
출마,출마
출생,출쌩
출세,출쎄
출시,출씨
출제,출쩨
출혈,출혈
충동,충동
충전,충전
충족,충족
충치,충치
충혈,충혈
취득,취ː득
취사,취ː사
취임,취ː임
취학,취ː학
측정,측쩡
치매,치매
치아,치아
치안,치안
치욕,치욕
치유,치유
치통,치통
친교,친교
친밀,친밀
친분,친분
친족,친족
친지,친지
친화,친화
침략,침냑
침수,침수
침입,치ː밉
침착,침착
침체,침체
침해,침ː해
콧날,콘날
콧등,코뜽/콛뜽
쾌감,쾌감
쾌락,쾌락
큰절,큰절
타협,타ː협
탄식,탄ː식
탄압,타ː납
탈락,탈락
탈춤,탈ː춤
탈퇴,탈퇴/탈퉤
탐구,탐구
탐색,탐색
탐험,탐험
태교,태교
태몽,태몽
태아,태아
터득,터ː득
터전,터전
털옷,터롣
토막,토막
토양,토양
토지,토지
통보,통보
통속,통속
통제,통ː제
통치,통ː치
통풍,통풍
통학,통학
퇴임,퇴ː임/퉤ː임
퇴장,퇴ː장/퉤ː장
투고,투고
투기,투기
투병,투병
투입,투입
투쟁,투쟁
투정,투정
트림,트ː림
특강,특깡
특권,특꿘
특집,특찝
특허,트커
티끌,티끌
파격,파ː격
파견,파견
파멸,파ː멸
파문,파문
파업,파ː업
판결,판결
판명,판명
판정,판정
판촉,판촉
패배,패ː배
패자,패ː자
팽창,팽창
편입,펴닙
편집,편집
평론,평ː논
평야,평야
평지,평지
폐렴,폐ː렴/페ː렴
폐수,폐ː수/페ː수
폐장,폐ː장/페ː장
폐해,폐ː해/페ː해
폐허,폐ː허/페ː허
포기,포기
포부,포ː부
포용,포ː용
폭격,폭껵
폭등,폭뜽
폭락,퐁낙
폭로,퐁노
폭식,폭씩
폭염,포겸
폭탄,폭탄
폭파,폭파
폭풍,폭풍
폭행,포캥
표기,표기
표류,표류
푸념,푸념
품목,품ː목
품종,품ː종
풍년,풍년
풍력,풍녁
풍요,풍요
풍자,풍자
피고,피ː고
피리,피리
피살,피ː살
피차,피ː차
필자,필짜
핏줄,피쭐/핃쭐
하객,하ː객
하교,하ː교
하락,하ː락
하류,하ː류
하위,하ː위
하인,하ː인
하천,하천
하체,하ː체
하향,하ː향
학계,학꼐/학께
학번,학뻔
학벌,학뻘
학살,학쌀
학술,학쑬
학식,학씩
학업,하겁
학위,하귀
학점,학쩜
학창,학창
한과,한ː과
한도,한ː도
한몫,한목
한약,하ː냑
한우,하ː누
한정,한ː정
한탄,한ː탄
한탕,한탕
한파,한파
함성,함ː성
함축,함축
합성,합썽
합창,합창
항문,항문
항암,항ː암
해고,해ː고
해군,해ː군
해독,해ː독
해발,해ː발
해상,해ː상
해양,해ː양
해일,해ː일
해저,해ː저
해제,해ː제
해직,해ː직
햅쌀,햅쌀
허구,허구
허기,허기
허망,허망
허무,허무
허위,허위
허탈,허탈
허파,허파
헌법,헌ː뻡
헌신,헌ː신
헌혈,헌ː혈
헐값,헐깝
험담,험ː담
혁명,형명
혁신,혁씬
현안,혀ː난
현직,현ː직
현황,현ː황
혈관,혈관
혈압,혀랍
혈액,혀랙
혈연,혀련
혐오,혀모
혐의,혀믜/혀미
협박,협빡
협상,협쌍
협약,혀뱍
협의,혀븨/혀비
협정,협쩡
형부,형부
형사,형사
호소,호소
호우,호우
호전,호ː전
호칭,호칭
호평,호ː평
호화,호화
호황,호ː황
혹평,혹평
혼례,홀례
혼인,호닌
홍색,홍색
화두,화두
화법,화뻡
화산,화ː산
화상,화ː상
화자,화자
화장,화ː장
화초,화초
화학,화ː학
확률,황뉼
환갑,환ː갑
환호,환호
환희,환히
활력,활력
활자,활짜
황사,황사
황색,황색
황제,황제
황혼,황혼
회갑,회갑/훼갑
회계,회ː계/훼ː게
횡단,횡단/휑단
효녀,효ː녀
효능,효ː능
효력,효ː력
효율,효ː율
후각,후각
